ablation,n_runs,val_acc_mean,val_acc_std,delta_vs_full,n_fail
no_multiscale,3,0.1698,0.0,0.0023333333333334094,0
no_attention_pool,3,0.1680333333333333,0.0055644706247165,0.0005666666666667153,0
full,3,0.1674666666666666,0.0040414518843273,0.0,0
no_se,3,0.1673666666666666,0.0042146569650842,-9.999999999998899e-05,0
no_stochastic_depth,3,0.1661333333333333,0.0060928920336186,-0.0013333333333332975,0
