feature_type,word_type,n_folds,wer_mean,wer_std,n_samples_total
dda,cvc_all,16,0.7300347222222222,0.05654415542163201,1232
erp,cvc_all,16,0.7255208333333333,0.030914869669249268,1232
dda,cvc_pseudowords,16,0.7723958333333334,0.049695251841152345,616
erp,cvc_pseudowords,16,0.7800347222222223,0.02947096551933745,616
dda,cvc_real_words,16,0.6876736111111111,0.09634775379059873,616
erp,cvc_real_words,16,0.6710069444444444,0.07961435307813147,616
