ablation,n_runs,val_acc_mean,val_acc_std,n_fail
no_multiscale,3,0.16980000000000003,0.0,0
no_attention_pool,3,0.16803333333333334,0.005564470624716544,0
full,3,0.16746666666666665,0.004041451884327382,0
no_se,3,0.16736666666666666,0.004214656965084269,0
no_stochastic_depth,3,0.16613333333333333,0.0060928920336186495,0
