task,n_folds,acc_base_mean,acc_base_ci95_low,acc_base_ci95_high,acc_mask0_200_mean,acc_mask0_200_ci95_low,acc_mask0_200_ci95_high,delta_mask_minus_base
manner,16,0.6330859302054155,0.5662118055555556,0.6953418242296918,0.607984943977591,0.5294538471638656,0.6764328387605042,-0.02510098622782453
phoneme_identity,16,0.10439486554881107,0.08651861536071948,0.12269036378335252,0.10406045524318944,0.0848503232099831,0.12405810211670479,-0.00033441030562163243
place,16,0.5180887896825397,0.4973297619047619,0.5386326140873017,0.5130355100373483,0.4943837294292718,0.5313475285947712,-0.005053279645191422
