feature_type,task,eval,n_folds,n_perm_per_fold,acc_true_mean,acc_perm_mean,delta_true_minus_perm,p_value_empirical
erp,phoneme_identity,LOSO_allTMS,16,50,0.11678791338788191,0.12815838196259377,-0.011370468574711856,0.7058823529411765
erp,manner,LOSO_allTMS,16,50,0.6487564337873479,0.6649485541405871,-0.016192120353239137,0.7058823529411765
erp,place,LOSO_allTMS,16,50,0.5173534129827186,0.5198168894093873,-0.002463476426668665,0.7058823529411765
dda,phoneme_identity,LOSO_allTMS,16,50,0.18006553836489309,0.17638099626190268,0.003684542102990407,0.5294117647058824
dda,manner,LOSO_allTMS,16,50,0.822403591603354,0.8064404465843928,0.015963145018961122,0.5294117647058824
dda,place,LOSO_allTMS,16,50,0.5251652363894028,0.530625628124631,-0.005460391735228165,0.8823529411764706
